"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"18","anleihen","dollar","york","new","dollar","dow","street","freitag","index","anleihen","unternehmen","euro","papiere","dow","quartal","bank","markt","boersen","anleihen","haendler","usa","aktie","notierte","york","notierte","korrektur","plus","index","titel","maerkte","anleihen","jones","quartal","freitag","gold","punkte","aktie","staatsanleihen","erwartet","boersen","usa","marke","aktienindex","kurse","commerzbank","renditen","usnotenbank","index","rendite","boersen","rendite","gewinne","waehrungen","geldpolitik","erwartet","minus","duerfte","aktie","aktienmaerkte","schwellenlaendern","leitindex","waehrung","usnotenbank","punkten","trump","experten","geldpolitik","rund","leitindex","gewinne","schwellenlaendern","konjunktur","papiere","maerkte","aktie","minus","aktie","maerz","goldpreis","papiere","hedgefonds"
"19","freitag","aktienmarkt","minus","morgan","erholung","punkte","anleihen","anleihen","usa","morgan","markt","haendler","morgan","aktienmarkt","minus","euro","new","plus","gestern","plus","aktie","minus","plus","quartalszahlen","aktienmaerkte","new","punkten","bank","verluste","investmentbank","verluste","morgan","erwarten","experten","kurse","gewinne","morgan","kurse","index","punkten","aktie","gestern","analysten","dow","gestern","eurozone","minus","renditen","boersianer","usnotenbank","kurs","gold","ukraine","index","minus","papiere","leitindex","punkten","usa","ezb","chinas","kurse","yellen","boerse","zinsen","punkte","bank","anleihen","aktie","leitindex","waehrungen","analysten","anleihen","papiere","maerkte","saudi","barrel","aktienmaerkte","bank","usa","usa"
"20","index","minus","bank","index","york","usa","punkten","haendler","aktienmaerkte","aktie","erholung","strategen","unternehmen","experten","index","woche","aktienmaerkten","bundesanleihe","notierte","morgan","index","markt","mdax","new","experten","sachs","sachs","kurse","aktienmaerkte","minus","oelpreis","experten","experten","punkte","gewinne","experten","gewinne","frankfurt","bank","aktie","papiere","goldman","haendler","schuldenkrise","papiere","franken","bundesanleihen","wall","index","aktie","leitindex","aktienmarkt","markets","kurse","rendite","aktie","staatsanleihen","analysten","boerse","schwellenlaender","punkten","maerkte","staatsanleihen","plus","wall","rendite","papiere","plus","euro","anlegern","leitindex","usnotenbank","kurse","analysten","quartal","bank","rendite","bank","fed","fonds","wall"
"21","aktienmarkt","aktie","woche","experten","street","wall","aktienmarkt","aktienmarkt","aktienkurse","wall","gewinne","aktie","bank","unternehmen","aktienindex","wall","freitag","euro","aktienindex","stand","lynch","boersianer","aktienmarkt","hedgefonds","gewinne","york","quartal","kommenden","woche","maerz","mdax","punkte","new","minus","index","goldpreis","index","maerkte","anlegern","anlegern","punkte","rendite","rendite","boersen","schuldenkrise","aktienmarkt","schuldenkrise","staatsanleihen","bank","punkte","titel","boersen","aktienmaerkte","eskalation","anleihen","zentralbank","punkte","anleihen","turbulenzen","analysten","usa","rendite","notenbank","anleihen","donald","quartal","notenbank","edelmetall","punkten","zinsen","donald","aktie","usnotenbank","usnotenbank","bank","boersengang","coronavirus","zinsen","morgan","minus","street"
"22","fiel","freitag","aktie","unternehmen","aktienmarkt","aktienmaerkte","index","morgan","unternehmen","aktienmaerkte","aktienmaerkte","gewinne","gestern","fiel","dow","punkten","quartal","bank","rendite","aktie","bank","new","lag","maerkte","plus","goldman","aktienmaerkte","rezession","experten","index","markt","index","commerzbank","bank","aktienmaerkten","heller","leitindex","verlor","boersianer","staatsanleihen","experten","punkten","papiere","quartal","anleihe","bank","stimmung","bank","staatsanleihen","notenbanken","boersianer","leitindex","leitindex","aktienmaerkte","street","boersianer","usa","fed","minus","zinserhoehung","chinesischen","papiere","bundesanleihen","woche","inflation","plus","experten","gewinne","usa","quartal","euro","leitindex","maerkten","konjunktur","schwellenlaender","analysten","analysten","rendite","usa","bank","zinsen"
"23","minus","nasdaq","unternehmen","anleihen","verlor","titel","aktienmaerkte","aktienmaerkte","anleihen","hsbc","dollar","anleihen","anleihen","index","gewinne","markt","experten","haendler","titel","aktienindex","aktienmaerkten","wall","titel","fondsmanager","minus","street","aktienindex","merrill","usa","markt","punkten","maerkten","wall","sp","boersianer","boersianer","rendite","usdollar","minus","experten","haendler","aktienmarkt","boersianer","titel","stimmung","freitag","usa","woche","stoxx","renditen","plus","plus","argentinien","haendler","usnotenbank","titel","gold","minus","schwellenlaender","gold","punkte","usnotenbank","leitindex","dow","jones","boerse","punkte","renditen","steigende","usa","rendite","wall","konjunktur","vermoegensverwalter","handelsstreit","billionen","oelpreis","aktienmaerkten","zinsen","notenbanken","usstaatsanleihen"
"24","wall","gewinne","fiel","plus","hsbc","minus","freitag","irak","woche","usa","morgan","markt","experten","plus","boersianer","street","titel","bonds","woche","boersen","punkte","korrektur","usa","citigroup","fiel","papiere","freitag","banken","haendler","new","wall","markt","papiere","zaehler","minus","quartal","papiere","experten","aktienmarkt","stieg","titel","bundesanleihen","kurse","anleihen","verlor","marke","aktie","street","leitindex","geldpolitik","kurse","usdollar","konjunkturdaten","dow","aktienmaerkte","bank","ezb","boerse","maerkte","bank","maerkten","punkten","experten","usnotenbank","dow","eurozone","leitindex","punkte","handelskrieg","wall","papiere","punkte","vergangenen","notenbanken","rezession","weltweit","opec","gewinne","billionen","staatsanleihen","punkte"
"25","street","papiere","titel","bank","aktienmaerkte","new","bank","unternehmen","morgan","bank","aktienmarkt","woche","plus","quartalszahlen","jones","mdax","street","renditen","deutsche","woche","amerikanischen","papiere","aktienmaerkte","street","papiere","china","aktienmarkt","maerkte","aktienindex","usa","freitag","erwarten","yen","bundesanleihen","commerzbank","mrd","aktienmarkt","minus","gewinne","haendler","zinsen","notierte","gestern","bundesanleihen","ausblick","staatsanleihen","september","fedex","aktie","leitindex","syrien","index","wall","mdax","donnerstag","index","aktienmarkt","experten","donnerstag","punkte","geldpolitik","china","renditen","papiere","gold","maerkte","maerkten","aktienmaerkte","jones","fed","markets","aktienmarkt","gold","gewinne","vermoegensverwalter","zinsen","fondsmanager","erholung","jp","plus","index"
"26","unternehmen","quartal","aktienmarkt","aktienmarkt","morgan","erholung","new","usa","jones","street","positive","erwarten","euro","quartal","wall","stieg","bank","experten","haendler","punkte","plus","experten","stimmung","zahlen","bank","gewinne","goldman","erwartet","goldman","fondsmanager","woche","aktienindex","street","renditen","sachs","staatsanleihen","haendler","aktienmarkt","plus","bank","aktienmaerkte","schuldenkrise","anleihen","jp","franken","fiel","yen","commerzbank","wall","rendite","analyst","wkn","aktie","rendite","leitindex","quartal","oelpreis","maerkte","leitindex","experten","notenbank","leitindex","aktienmarkt","usdollar","fondsmanager","zaehler","renditen","analysten","papiere","index","minus","steigende","handelsstreit","powell","rendite","dividende","street","p","feinunze","leitindex","fed"
"27","aktie","gewinnwarnungen","quartal","aktie","index","street","plus","notierte","boersianer","zaehler","bonds","fondsmanager","aktienmarkt","wall","unternehmen","plus","morgan","citigroup","rueck","titel","maerkte","street","konjunkturdaten","plus","markt","aktienindex","dienstag","aktienmaerkte","markt","papiere","fondsmanager","anleihen","euro","goldpreis","erwartet","aktienmaerkte","erholung","schuldenkrise","titel","bundesanleihen","aegypten","fiel","commerzbank","usa","rendite","gewinne","staatsanleihen","analyst","allzeithoch","usa","aktienkurse","depot","minus","investment","wall","aktienmaerkte","papiere","schwankungen","chinesischen","minus","chinesische","boerse","maerkte","maerkte","staatsanleihen","mdax","uspraesident","risiken","boersianer","maerkten","aktie","powell","vermoegensverwalter","renditen","barrel","morgan","punkten","notenbanken","rendite","rund","kurs"
