"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01"
"40","ibm","aktionaere","aol","verkauf","analyst","schrempp","unternehmens","konzerns","schrempp","verkauf","united","allianz","vorstandschef","marktfuehrer","aktienkurs","weltweit","otto","vorstandschef","milliarden","erwartet","continental","ag","mittel","uebernahme","martens","wachsen","hiess","spanischen","bayer","hvb","gesamtjahr","milliarden","unternehmens","steuern","franken","kunden","verluste","daimler","bosch","aktionaere","air","daimler","van","erwartet","hersteller","strich","vorjahreszeitraum","konkurrenten","autos","branche","ag","audi","wettbewerber","voestalpine","milliarde","quartal","thyssenkrupp","fahrzeuge","post","martin","flugzeuge","siemens","volkswagen","toyota","mitarbeiter","audi","interessenten","werke","woeste","betriebsrat","ryanair","leverkusener","autohersteller","uebernahmen","ceo","heeschen","leoni","mitarbeiter","aufsichtsrat","branche"
"41","laufende","advance","bank","teilte","steuern","eads","verkauf","corus","verlust","kurs","kronen","ge","steuern","gesamtjahr","lufthansa","monaten","rund","steuern","weltweit","tochter","unicredit","verkauf","festnetz","teilte","konkurrenten","aktienkurs","finanzinvestoren","business","vorstand","norilsk","eads","operative","kuendigte","general","kapitalerhoehung","general","loescher","deutlich","aktie","rund","absatz","groesster","apotheker","vw","philips","rheinmetall","zweiten","knapp","aktie","fuenf","kunden","milliarde","kion","markt","handelsblatt","unternehmens","piloten","audi","karstadt","thyssenkrupp","travel","sparte","luebbe","ersten","general","ermittlungen","geschaeft","millionen","air","tacke","ruesselsheim","volkswagen","markt","renault","boersengang","ag","group","bmw","autohersteller","daxkonzern"
"42","laufenden","cents","erwartet","gesamtjahr","operativen","branche","minus","operativen","lufthansa","marktanteil","uebernahme","weltweit","konkurrenten","continental","cisco","walmart","konkurrenten","kkr","frosta","operative","kauf","altana","privatkunden","jahr","louis","diehl","millionen","konzerns","analyst","hiess","qimonda","autobauer","zulieferer","escada","branche","operative","marke","dividende","vorjahreszeitraum","electric","dividende","knapp","vorjahr","autobauer","vierten","operativen","rund","hersteller","thyssenkrupp","helaba","unternehmen","steinhart","zahlen","general","henkel","opel","vw","bonner","bezos","milliarde","konzernchef","tochter","grube","unternehmens","volkswagen","staatsanwaltschaft","finanzvorstand","emirates","fahrzeuge","kunden","vorstand","autos","diess","airbus","kunden","strategie","verkauft","jurecka","exner","juul"
"43","fusion","gewinnwarnung","branche","swissair","kunden","minus","beiersdorf","commerzbank","uebernahme","quartalszahlen","monaten","pfund","tochter","erwirtschaftet","steigern","ersten","boerse","gesellschaft","vorstandschef","beteiligungen","gestern","ps","microsoft","analysten","mio","murdoch","mio","bank","ford","zusammenschluss","konzernchef","aktie","sap","zahlen","ergebnis","konzernchef","vergangenen","henkel","hersteller","sis","geschaeft","a","zahlen","thyssenkrupp","branche","umsaetze","geschaeftsjahr","erwartungen","rund","peugeot","unternehmens","verkauft","kkr","boersengang","konzerns","aktionaeren","autobauer","diekmann","fahrzeuge","zetsche","operative","berlin","tata","fraport","hersteller","marke","piepenburg","umsatz","kunden","unternehmens","stadler","millionen","aktionaeren","diesel","management","boersengaenge","airbus","ego","daxkonzern","zukaeufe"
"44","kurs","branche","vierten","cents","markt","vorjahreszeitraum","verluste","uebernahme","aktionaere","gestern","fourtou","daimlerchrysler","keitel","verlust","daimlerchrysler","insgesamt","abschreibungen","astrazeneca","analyst","kursziel","analysten","oegb","aktionaere","aktienoptionen","toulouse","puttfarcken","postbank","frankfurter","sick","fluggesellschaft","geschaeftsjahr","millionen","abu","stieg","volkswagen","tochter","marken","konkurrenten","ergebnis","pfund","stieg","modelle","kunden","rechnet","re","groesste","ergebnis","anteile","bischoff","milliarde","china","konzernchef","markt","ergebnis","thyssenkrupp","tonline","absturz","marke","management","rund","dividende","ag","bahn","nestlé","bierbaum","elektroautos","cinven","flugzeuge","markt","delivery","cevian","landwirte","hauptversammlung","manager","springer","siemens","uebernahmen","fluggesellschaften","diess","henkel"
"45","piloten","erklaerte","fluggesellschaften","erwartet","unternehmens","markt","konkurrenten","monaten","ing","kunden","umsatzes","erloese","erwirtschaftet","branche","karstadtquelle","erwartet","jahresueberschuss","euronext","zahlen","knapp","konzerne","group","vorjahreszeitraum","kosten","angaben","schenker","milliarden","ahold","abschreibungen","boerse","celesio","mercedes","kunden","opel","management","branche","uebernahme","monaten","teilte","knapp","schaeffler","zahlen","basf","erloese","plus","hauptversammlung","wolfsburger","vorjahr","stiftung","boeing","ackermanns","analysten","konzernchef","grossaktionaer","metro","yu","volkswagen","bosch","jahren","manipulation","basf","aixtron","verkauf","etihad","vorstand","hauptversammlung","aktionaere","geschaefte","unternehmens","marke","autohersteller","basf","vorstaende","unternehmens","geschaefte","manager","analysten","boerse","autoindustrie","abschreibungen"
"46","markt","knapp","geschaeftsjahr","verluste","trotz","erwartet","ba","kunden","abschreibungen","gesamtjahr","schwachen","kkr","mio","eckes","operative","halbjahr","jil","pouzilhac","wegen","konkurrenten","aktionaere","erwirtschaftet","mill","internen","zukaeufe","angebot","motors","bavaria","konkurrenten","unternehmen","jansson","ford","milliarden","absatz","kraft","knapp","kuendigte","marke","akerson","secher","operative","konzernchef","konzernchef","halbjahr","rechnet","arcelormittal","teilte","finanzvorstand","cromme","kanada","baumgertner","mitarbeiter","loewe","neue","tochter","management","unternehmen","autos","china","auslaender","abschreibungen","unternehmens","autos","a","autobauer","flugzeuge","autos","rund","umsatz","thyssenkrupp","ersten","skoda","marken","apfalter","bank","operative","ceo","rund","marken","boersengang"
"47","zahlen","milliarden","konzerns","rechnet","kurs","daimlerchrysler","geschaeft","kosten","daimlerchrysler","handelsblatt","teilte","schweppes","gestern","ollila","sorrell","kkr","termuehlen","umsatzes","ba","hiess","att","weltweit","ubs","sparprogramm","rag","schwarzmans","strabag","db","hiess","milliarden","boersengang","google","bmw","hauptversammlung","konzerns","sap","abschreibungen","baete","verkauf","autobauer","arcelormittal","vorjahr","geschaeftsjahr","autos","osram","zahlen","piech","prognose","porsche","winterkorn","salzgitter","preise","winterkorn","quartal","fahrzeuge","geschaeftsjahr","basf","drei","muenchen","ea","neue","aufsichtsrat","konkurrenten","rund","hauptversammlung","vorstand","kunden","berlin","mitarbeitern","aktionaere","entwicklungszentrum","hiesinger","rund","siemens","martin","operativen","konzerns","autobauer","umbau","ams"
"48","operativen","teilte","airlines","nokia","plus","stieg","basf","geschaeftsjahres","teilte","¤","boerse","halbjahr","geschaeftsjahr","schrempp","stieg","vergangenen","zinsen","basf","havas","chrysler","itv","meyer","branche","a","aktie","lufthansa","bmw","geschaeftsjahr","tochter","unicredit","fluggesellschaft","motors","produktion","hersteller","grube","gesamtjahr","motors","mcdermott","operativen","essener","boersengang","kunden","jahr","philips","operative","aktie","legte","gestern","francioni","dollar","osram","vorjahr","airlines","strategie","daimler","power","wettbewerber","quartal","knapp","aktienkurs","einenkel","vorstand","ersten","passagiere","konzernchef","neue","kaeser","aufsichtsrat","geely","millionen","lohscheller","ceo","enders","investor","aktionaere","kerkhoff","ebit","spohr","operative","markt"
"49","aktienkurs","konkurrenten","fusion","chrysler","gewinne","uebernahme","vergangenen","bayer","minus","stieg","konkurrenten","tochter","chemie","sparte","kurs","minus","thiel","dpa","rim","zetsche","quartal","hauptversammlung","konzerne","lehner","management","stark","boerse","konkurrenten","murdoch","dollar","dividende","zahlen","mitarbeiter","aktionaere","general","motors","erloese","analyst","bp","analysten","amerikanischen","tochter","air","produktion","laufenden","bauer","asien","erwartet","rollsroyce","konkurrenten","markt","mercedes","boerse","zahlen","absatz","porsche","ausschuettung","milliarde","vw","kapitel","joussen","umbau","henkel","surteco","dollar","airlines","kengeter","arbeitnehmervertreter","marken","lufthansa","halbjahr","mohnen","topmanager","gewinn","sparte","unitymedia","autobauer","aktie","verkauft","operative"
"50","vergangenen","laufende","minus","handelsblatt","akquisitionen","operative","kurs","risikovorsorge","gesteigert","trotz","verlust","konkurrenten","dollar","lufthansa","basf","kunden","mitarbeiter","fsc","sparte","stieg","vorstand","erworben","hiess","sap","spanischen","sieben","aufsichtsrat","boerse","fraport","airlines","permira","ups","zetsche","jahr","boeing","teilte","hauptversammlung","tui","uebernahmen","geschaefte","renault","naturkatastrophen","osram","kuendigte","bereich","gestern","ups","westeuropa","unternehmens","trotz","martin","sparte","hauptversammlung","geplant","wagen","wettbewerber","opel","sparte","lufthansa","tui","vorgaenger","voith","geschaeftsjahr","verkauf","bahn","stadler","solarworld","boeing","bmw","seat","diesel","vodafone","modelle","mitarbeitern","verkauf","unternehmens","thyssenkrupp","autoindustrie","kuendigungen","konzerns"
