"date","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
2010-05-01,1957,2728,2121,4780,1787,4665,3291,2385,4833,5141,1639,5793,3396,3196
2010-06-01,2649,3183,1910,3604,1153,5623,2634,4855,4187,6292,2058,5243,4740,3768
2010-07-01,2518,2471,2555,3536,2435,2715,3811,4096,3833,6579,1421,3563,4350,2578
2010-08-01,2308,1530,2950,5269,2185,3905,2538,2983,3543,7728,1617,3556,4677,1885
2010-09-01,2151,2117,3061,2137,3022,6013,4116,3418,5144,3659,1589,3404,3606,2366
2010-10-01,2736,1463,1958,1795,1653,4097,4167,2306,4094,4142,1188,3518,2773,1108
2010-11-01,3138,3987,1604,2884,3610,4369,3077,3007,6134,3121,2202,7041,3228,2543
2010-12-01,3037,4271,3371,2604,2610,5156,2247,2871,5334,4186,2251,5047,3549,1998
2011-01-01,2649,1250,3034,2522,2665,3086,2587,3075,3998,3438,1549,3941,3024,2199
2011-02-01,2743,1101,2027,2070,3153,3002,2328,2481,2510,2831,1290,1757,3199,1614
2011-03-01,2697,2878,9634,2106,2968,4769,3062,4326,4084,7383,1846,5001,5268,4223
2011-04-01,1523,1308,3084,2038,2060,3372,2888,2640,3998,3226,1393,4655,2252,4219
2011-05-01,2232,3050,2530,3619,2425,5006,1915,2471,4521,2665,2676,4177,2567,2556
2011-06-01,2712,2563,2747,2735,1955,3764,1514,3158,5968,3666,2443,4852,2915,2616
2011-07-01,3482,2859,1207,3436,2414,4048,3743,2918,3442,4654,1333,8155,3116,2958
2011-08-01,3954,3636,2800,5185,2704,6697,5023,3941,6178,10896,1925,11038,6147,3866
2011-09-01,2859,3051,2154,4685,2683,5732,5021,3258,3877,5659,2371,11450,6274,3349
2011-10-01,4838,3036,2008,5098,1987,4560,5428,3642,5697,5764,1925,7512,6414,2222
2011-11-01,3823,5831,2517,5439,2614,5928,4517,3804,4023,5371,2289,11797,5705,2576
2011-12-01,4018,3632,3053,4215,2579,5849,3700,2350,4896,3521,2084,6405,6059,2160
2012-01-01,1642,2685,2277,4447,2771,3992,3477,3174,3356,4811,1273,5993,6827,2957
2012-02-01,2929,1394,1586,4159,2416,3106,2683,2963,3789,2058,1454,4045,4314,1221
2012-03-01,2586,1884,2013,2409,2900,3629,2973,2746,3636,1627,1953,2394,1992,1632
2012-04-01,2236,3337,1939,3710,1851,3667,2195,2750,3434,3879,1895,3375,2373,2019
2012-05-01,3505,2455,1797,5793,1440,3739,4729,3182,5395,3491,1528,5518,5592,3013
2012-06-01,2563,4171,2345,2404,2302,4611,2888,2812,3740,4209,1752,7707,4686,2211
2012-07-01,2791,2521,2056,6416,2087,6600,4075,3939,5530,4016,2879,8323,6512,2048
2012-08-01,3063,1891,2111,7013,2007,4660,3263,2164,5242,4927,1496,4404,5017,2701
2012-09-01,1979,1546,2096,1895,3088,5261,3887,3134,3912,3965,1731,5893,3551,2792
2012-10-01,2478,1397,2627,3925,2993,5635,4340,3156,4863,4719,1950,4202,3856,2018
2012-11-01,2680,2193,1818,3622,3724,4033,3499,2873,2479,4229,1654,3877,4876,2006
2012-12-01,2283,2133,1295,1979,2435,6043,1992,2190,5155,2067,1494,1658,4731,2239
2013-01-01,1956,3159,1588,2336,3145,3594,1937,2165,5355,3069,1818,3539,5007,3087
2013-02-01,2794,2930,1749,3003,1601,4751,3302,3817,3650,3618,1980,3367,3434,1997
2013-03-01,1136,2509,1687,2890,1695,4511,3944,2922,4172,5647,1521,5814,3154,2071
2013-04-01,2934,2685,2191,1934,1639,5695,4154,3108,4848,3295,1566,4649,4264,2675
2013-05-01,1939,918,955,2403,893,2853,1506,2488,3371,1914,2170,1351,3681,2019
2013-06-01,2511,1920,2323,2500,3353,3865,2237,1843,4517,4103,1847,2886,2497,1664
2013-07-01,2286,2719,2441,4136,1787,6627,2226,2631,3334,3829,1409,5576,3794,1615
2013-08-01,2201,1175,2625,2949,1800,2849,2059,1881,3688,3856,946,3416,4138,2108
2013-09-01,2569,982,2737,2450,2153,4126,1845,2404,5054,3290,1901,2265,2428,4790
2013-10-01,2520,2339,1769,2843,3058,3559,2888,2896,3798,4397,767,5031,3215,2585
2013-11-01,1750,1339,1335,989,1677,3375,1588,2131,3737,1118,1696,2005,2510,1127
2013-12-01,1436,1327,1065,1670,1528,3943,1662,1859,2812,2171,1222,2144,2829,1874
2014-01-01,1182,2710,1332,2861,2399,3086,1089,1229,4044,2042,995,2181,1963,1429
2014-02-01,1831,3167,2346,1322,1981,3202,1258,2916,4079,3201,2433,3478,2588,1258
2014-03-01,2652,4642,1481,3576,2416,4365,3021,2938,4882,5489,2015,2311,3627,1663
2014-04-01,1150,2399,2898,1613,1942,2989,1884,1685,3849,2241,1272,1905,2895,1194
2014-05-01,1607,2608,1334,2727,1269,3416,2336,1881,3607,2434,1555,2652,2938,1745
2014-06-01,2338,2093,887,1427,1792,2500,1956,1278,4028,2233,1226,2206,1617,637
2014-07-01,2606,2600,1058,2642,2129,3921,1980,2106,3154,3106,758,2895,2592,1082
2014-08-01,1660,3021,862,3124,1861,3971,1672,2605,3378,4764,1318,1951,6122,1392
2014-09-01,2797,5554,1123,1997,2042,4071,2281,2084,4879,3224,1894,2962,4161,2492
2014-10-01,3350,1886,2151,1779,1799,4978,2694,2449,3851,4923,1811,4106,5116,2430
2014-11-01,2528,1810,1574,2916,4601,3516,2075,1930,5189,2859,2201,1794,3280,1652
2014-12-01,1879,2648,2332,2291,1762,3446,2033,2931,5575,3826,1622,2729,4485,1481
2015-01-01,2533,2100,2414,2427,2954,6434,2380,3271,5555,4519,2247,6517,3700,1810
2015-02-01,2032,2215,1703,4073,2513,4229,3012,2265,5799,4429,1884,4024,3067,2713
2015-03-01,2346,3166,1757,2592,2158,5189,1279,2462,3831,1829,1826,2689,2337,2253
2015-04-01,1937,1838,2309,1896,2521,4373,1173,3263,2628,1668,1409,2783,1874,1922
2015-05-01,2976,2223,1315,3115,1226,4752,1815,2014,5225,2295,1810,2257,1888,1280
2015-06-01,2037,1085,946,1302,1785,3828,1780,2290,3180,3529,1017,5071,3317,2087
2015-07-01,1854,1820,994,1709,1987,3338,1530,2989,3738,2959,1488,5191,2837,2388
2015-08-01,1673,1947,1574,3258,2773,3699,2104,1635,4704,8117,1016,3931,4328,2217
2015-09-01,2546,1579,1621,2012,2506,5398,1844,3002,4157,7177,1959,2412,2888,2086
2015-10-01,3731,1843,1101,5339,1857,5025,2861,3235,5338,5206,1429,2584,4303,2165
2015-11-01,2407,1773,1245,1873,2655,6163,2328,1783,4419,3836,1718,1822,3451,3015
2015-12-01,1598,1181,1733,1704,1641,2120,1813,2848,2853,5432,1263,2339,4169,1009
2016-01-01,2804,2493,1382,4234,3891,7776,1585,3992,5922,10665,1683,2472,5786,3106
2016-02-01,2161,4598,1371,3047,3441,6097,3661,2689,4852,6385,2088,3235,4009,2775
2016-03-01,2372,2886,1585,3026,2935,5257,3166,2472,4641,3256,2095,2336,3369,4210
2016-04-01,2963,3474,2172,4383,2102,6062,1773,3613,5886,4085,2245,1474,3268,3668
2016-05-01,2236,2487,1683,2686,2473,4434,2112,3000,4568,3641,2019,1753,2683,4425
2016-06-01,3578,15457,1050,2400,1987,6405,3181,3688,4853,7388,2099,4141,3699,3371
2016-07-01,3158,11410,1348,4363,3212,8022,4973,3443,6213,9625,3008,5590,5347,2171
2016-08-01,2236,3411,2655,4448,3640,6315,3220,2816,6946,6670,2327,3381,5511,2667
2016-09-01,4178,3098,2219,5055,4376,6764,3887,3490,2336,4745,1164,3603,4770,3151
2016-10-01,2938,3851,927,1801,3024,4684,2739,2413,7750,4658,3716,2647,3996,2208
2016-11-01,4589,3866,1926,4814,11668,7724,3356,2840,3730,6483,1226,3879,5561,5255
2016-12-01,5090,3443,2569,4737,6175,8852,4579,4050,6995,5491,2821,6540,5999,4009
2017-01-01,5442,4150,1790,5431,10586,11511,3130,3321,6636,7944,1911,2705,8538,5241
2017-02-01,2698,2640,1137,4239,7107,7140,2295,4162,5859,6266,3026,4316,4257,6246
2017-03-01,3421,4394,1561,3031,4327,5428,4327,2618,5619,5102,1995,2557,5403,4619
2017-04-01,3797,2751,3152,4089,4503,6055,2892,2819,5538,6370,2436,3537,6017,4727
2017-05-01,3480,2414,1864,4040,3638,6417,1635,2630,4439,3984,1263,1677,4356,5982
2017-06-01,3353,4545,1785,1126,3219,4399,2231,2019,5376,3660,1643,3375,3103,3547
2017-07-01,3528,2572,2011,4691,3028,4471,2934,3885,3080,3045,1516,2403,4233,2242
2017-08-01,3247,2768,2180,2920,3877,4129,2402,2885,4253,6207,1926,3552,4273,1722
2017-09-01,2126,1651,1797,1963,1407,6533,2165,2465,6305,2415,2236,2618,3033,4513
2017-10-01,4080,3111,1421,3491,6126,6146,2939,2814,4578,3833,2713,2173,3572,3202
