"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"57","partner","mehrheit","oelpreis","hauptversammlung","beziehungen","begriff","institut","forderte","gefuehl","notierte","hoeness","trichet","arbeitslosigkeit","politischen"
"58","cloud","macron","winter","dividende","jinping","ueberhaupt","kaufen","gericht","ging","verlor","spielen","chefvolkswirt","wirtschaftswachstum","bundeskanzlerin"
"59","innovation","le","mengen","aktienkurs","armee","rolle","transaktionen","oeffentlichen","gerne","fonds","tui","regierungen","branchen","macron"
"60","berger","spanien","tonne","mitarbeiter","militaerische","laesst","hedgefonds","geplanten","lang","wert","senat","spanien","niveau","bundesregierung"
"61","beispielsweise","regierungschef","klima","verlust","york","aufgabe","miete","gesetzgeber","strasse","kurs","vereine","bundesbank","steigen","muentefering"
"62","bereich","brasilien","gigawatt","fusion","george","autor","finanzaufsicht","patienten","wissen","maerkten","hansestadt","waehrungshueter","institut","laschet"
"63","job","politischen","markt","sparte","westlichen","lernen","haeuser","mindestlohn","bilder","jp","bachelor","bernanke","rund","sonntag"
"64","thema","erdogan","rund","bank","weissen","institutionen","wohnen","kritik","glueck","goldpreis","zwei","preisstabilitaet","gesunken","parteitag"
"65","produkt","premierministerin","kohlendioxid","marken","militaerischen","schaffen","geldhaeuser","arbeitsplaetze","all","commerzbank","swift","greenspan","trotz","schaeuble"
"66","maschinen","sozialisten","atomkraftwerke","mercedes","usregierung","kapitalismus","investmentbanking","beschlossen","kennt","jones","bremen","federal","insgesamt","koalitionspartner"
"67","business","europas","strompreise","management","westliche","gesellschaftliche","geschaeft","ministerium","geboren","mdax","sommer","ezbrat","volkswirtschaft","finanzminister"
"68","arbeitgeber","theresa","gold","airbus","fuehrung","grenzen","ertraege","einfuehrung","erzaehlen","notenbanken","muenchner","senken","laut","landtagswahl"
"69","neuen","regierungschefs","bp","knapp","russlands","handeln","privaten","bundesfinanzminister","zwei","stieg","gmbh","griechischen","aussichten","abgeordneten"
"70","digital","boris","produzieren","fahrzeuge","syrien","debatte","investiert","gutachten","erinnert","euro","hsv","duisenberg","folge","buendnis"
"71","werbung","de","erneuerbarer","weltweit","regime","ordnung","finanzierung","darf","gesagt","erholung","absolventen","geldpolitischen","jahres","parteichef"
"72","unternehmensberatung","hollande","versorger","air","barack","veraenderungen","muenchen","fordern","namen","verluste","frankfurt","milliarden","punkte","wirtschaftsminister"
"73","wettbewerb","tories","betrieb","gesamtjahr","arabischen","jahrhundert","makler","vorgaben","kunst","zaehler","stuttgart","griechenlands","steigende","landtag"
"74","netz","chirac","teuer","uebernahmen","japan","dinge","kauf","haushalt","arbeiten","gestiegen","platz","griechische","wirtschaftliche","steinbrueck"
"75","studie","wahlen","dollar","tochter","gewalt","kultur","verkauf","millionen","tod","bundesanleihen","master","uswirtschaft","haushalte","buerger"
"76","industrie","beitritt","benzin","autoindustrie","frieden","politisch","bieten","kassen","draussen","vermoegensverwalter","stadion","staatsverschuldung","zahlen","wahlen"
"77","entwickeln","bruesseler","teurer","stieg","militaer","probleme","wert","kritisierte","freunde","stimmung","polizei","zinserhoehung","konjunkturelle","linkspartei"
"78","haeufig","mitgliedstaaten","nord","opel","politische","integration","beispielsweise","behoerde","maedchen","sp","kultur","laender","eurozone","debatte"
"79","heute","partei","energietraeger","produktion","nordkorea","interessen","kosten","kritisiert","karriere","knapp","schueler","ezbpraesident","studie","rede"
"80","silicon","londoner","megawatt","verkauft","partei","problem","konditionen","koenne","irgendwann","donnerstag","urlaub","notenbankchef","wachsen","politische"
"81","online","neuwahlen","fossile","kaeser","verbuendeten","glauben","lebensversicherung","koalitionsvertrag","los","erwarten","rund","athen","einbruch","regieren"
"82","kommunikation","wladimir","kernenergie","abschreibungen","konflikt","oekonomischen","milliarden","bundesrat","geld","konjunkturdaten","schalke","euros","produktion","politiker"
"83","geschaeftsmodelle","england","landwirte","manager","laender","herausforderungen","privatanleger","staat","kleine","dienstag","champions","reserve","experten","horst"
"84","kollegen","tuerkische","atomkraft","marke","kongress","medien","wertpapiere","eukommission","gemacht","bonds","olympischen","unsicherheit","staerker","schulz"
"85","konzerne","italiens","jahren","analyst","nahen","mag","ackermann","zusaetzliche","stolz","marke","sponsoren","deflation","leicht","kabinett"
"86","team","aussenminister","autos","finanzvorstand","clinton","weise","anlegern","rechtsunsicherheit","reden","rezession","galerien","mario","instituts","themen"
"87","investieren","binnenmarkt","millionen","wettbewerber","internationale","art","geldanlage","forderungen","gesicht","usdollar","nuernberg","verschuldung","lag","steinmeier"
"88","deutsche","wirtschaft","stromerzeugung","kosten","suedkorea","wissenschaftler","krediten","bdi","schoen","sachs","spiel","powell","krise","kandidaten"
"89","it","iwf","erde","audi","wladimir","fuehrt","kapitalmarkt","wirtschaftsminister","maennern","verloren","uni","portugal","zuwachs","berliner"
"90","fragen","deal","erdoel","finanzchef","mexiko","wandel","haus","cdu","buero","indizes","drei","liquiditaet","konsumenten","helmut"
"91","valley","tuerkischen","kilometer","insgesamt","truppen","jahrhunderts","regel","minister","roman","duerften","a","eurolaender","einzelhandel","parlament"
"92","gut","opposition","energiepolitik","milliarde","sicherheit","oekonomische","laufzeit","steuer","generation","duerfte","galerie","reformen","erwartungen","edmund"
"93","geschaeftsmodell","konservative","kohlekraftwerke","belegschaft","li","gerechtigkeit","investments","gelten","familien","markets","borussia","finanzsystem","steigenden","christian"
"94","kunde","leyen","subventionen","konzerne","politischen","finden","einlagen","arbeitsmarkt","musik","uswirtschaft","veranstaltung","massnahmen","ausgaben","schuldenbremse"
"95","entwickelt","juncker","versorgungssicherheit","autohersteller","eu","forschung","zehn","vorhaben","schueler","unsicherheit","meter","eurostaaten","sank","muesse"
"96","stellen","madrid","anlage","nettogewinn","angriff","werte","hohe","beitraege","wusste","zehnjaehrigen","bau","gefahr","oecd","landtagswahlen"
"97","belegschaft","kontinent","betreiber","gut","putins","fehler","wohnimmobilien","fall","jahren","stand","airlines","anleihekaeufe","einschaetzung","konservativen"
"98","deutschen","pen","kilowattstunde","absatz","uspraesidenten","all","grossbanken","finanzminister","heimat","new","abgesagt","preise","zeigt","baerbock"
"99","ag","korruption","erwaermung","erwartet","terror","fortschritt","landesbanken","vorliegt","augen","oelpreis","musk","erholung","export","buergermeister"
"100","arbeit","nordirland","bundesnetzagentur","umsatzes","waffen","idee","ikb","solle","abend","stark","duesseldorf","sitzung","hohen","abgeordnete"
"101","buero","stimmen","diesel","umsaetze","nationen","ungleichheit","portfolio","foerderung","sitzen","montag","leipzig","maerkten","usa","rotgruen"
"102","chefs","parteien","technologien","henkel","osten","sinne","deutsche","behoerden","wort","stoxx","wohnungen","irland","prozentpunkte","kritik"
"103","mittelstaendische","russen","fleisch","gm","auslaendische","realitaet","verkauft","aerzte","gern","steigen","thomas","oekonom","diw","wolle"
"104","standort","labour","stream","drei","joe","antwort","jain","hartz","alter","strategen","berlins","weidmann","bundesregierung","wolfgang"
"105","arbeitet","ministerpraesident","eeg","muenchener","w","leute","bonitaet","mrd","ersten","steigende","zuschauer","schaeuble","inflation","bundespraesident"
"106","siemens","reformen","windkraft","steuern","taliban","genau","jahre","vorschriften","kurz","mittwoch","semester","griechen","durchschnitt","waehlen"
"107","weltweit","slowakei","gaskraftwerke","teilte","internationalen","bundesrepublik","landesbank","klage","tun","kursen","paris","erhoehen","vormonat","land"
"108","kuenstlicher","irland","energy","bosch","westens","land","objekte","gesetzlich","minuten","investment","barcelona","billionen","dritten","csuchef"
"109","branchen","abstimmung","tiere","steigern","krieges","erleben","produkte","hoehe","dinge","asset","schulen","zinserhoehungen","unsicherheit","fischer"
"110","gute","europaeer","emissionshandel","deutlich","teheran","wahrheit","pro","beschaeftigte","arbeitet","nasdaq","sammler","steigen","privaten","sachsen"
"111","plattform","einigung","weltweit","zulieferer","russen","antworten","estate","steuern","lehrer","inflation","studierenden","japans","volkswirte","spdchef"
"112","prozesse","monti","energiewirtschaft","laufenden","terroristen","geben","gibt","erklaerte","art","geldpolitik","tuerkei","fedchef","hohe","fraktionschef"
"113","beschaeftigten","verfassung","bauen","marktfuehrer","pekings","themen","unternehmen","pruefen","ddr","steigenden","film","wirtschaftsleistung","milliarden","nordrheinwestfalen"
"114","geraete","beziehungen","shell","bilanz","saudiarabien","zeiten","aktienfonds","kuendigungsschutz","meter","msci","teams","glaeubiger","gegenueber","ampelkoalition"
"115","anbieten","staaten","lebensmittel","monaten","asien","krisen","verkaufen","aenderungen","welt","konjunktur","hauptstadt","geldmenge","ifoinstitut","waehlern"
"116","vorstand","finanzminister","windraeder","aktionaeren","demokratie","mensch","kreditinstitute","krankenkassen","tage","kgv","seite","vertrauen","laufenden","klingbeil"
"117","erfolg","parlamentswahlen","verbrauch","ebit","kim","aengste","beispiel","richter","ort","zaehlern","st","finanzpolitik","daten","bund"
"118","plattformen","polnischen","eu","verkaufen","aussenpolitik","ideen","rund","rentner","lesen","kursgewinne","stattfinden","geldpolitische","bruttoinlandsprodukts","reformen"
"119","nachhaltigkeit","auslaendische","kernkraftwerke","anteile","wto","fuehlen","jahr","bundeslaender","gerade","stanley","adidas","staatsschulden","prognostiziert","schroeders"
"120","eigene","kreml","sonne","laufende","chinesischer","oeffentlichkeit","kunde","bundesverband","wasser","s","angaben","zinsschritt","stieg","wulff"
"121","systeme","spanischen","klimaziele","kuendigte","staatsfuehrung","eigene","credit","bundesagentur","auto","monaten","staatsanwaltschaft","hoehere","ausland","streit"
"122","media","mrd","gruener","gestern","terrorismus","moderne","eigentumswohnungen","hans","the","p","samstag","esm","trend","zustimmung"
"123","forschung","umfragen","kapazitaeten","rechnet","amtszeit","thema","zins","staatliche","publikum","bewertet","spanien","eurokrise","duerften","thema"
"124","transformation","rumaenien","produziert","marktanteil","islamischen","sinn","ubs","beschaeftigung","polizei","bewertungen","zahl","investoren","institute","ruettgers"
"125","gegruendet","brown","energieagentur","zukaeufe","strafzoelle","wirklichkeit","immobilienpreise","zahlen","tochter","kursverluste","fliegen","basispunkte","naechsten","gegner"
"126","qualitaet","putins","netzbetreiber","erloese","afrika","bedeutet","laut","moeglich","freund","ubs","taylor","italienische","stagnation","badenwuerttemberg"
"127","erfahrung","lateinamerika","preisen","geschaefte","nation","sozialer","gebuehren","lohn","findet","anstieg","hamburgs","italiens","konjunkturellen","bundeswehr"
"128","finden","  ","produzenten","elektroautos","haus","reden","geldhaus","verordnung","journalisten","lag","gebaeude","wechselkurs","beschaeftigung","pds"
