"date","upi","sub_real_economy","sub_politics","sub_financial_markets"
2006-05-01,0.0124916884016177,0.00405429303560968,0.00680517026484679,0.00163222510116122
2006-06-01,0.00951076241292713,0.00305054311422317,0.0044970977134934,0.00196312158521056
2006-07-01,0.00753717960733341,0.00299606860395169,0.00294025990377778,0.00160085109960393
2006-08-01,0.0109391205455574,0.00351940589649045,0.00591017914213691,0.00150953550693003
2006-09-01,0.0112044198635381,0.00329682918581825,0.00658902740227831,0.00131856327544155
2006-10-01,0.0128091890487743,0.00395683604404931,0.00707012775086006,0.00178222525386491
2006-11-01,0.0103956163166672,0.00343663276940692,0.00593959861604327,0.00101938493121702
2006-12-01,0.0119009973225835,0.00368135079304142,0.00663470736965731,0.00158493915988478
2007-01-01,0.0104673858891742,0.00382427052386364,0.0054145999877901,0.00122851537752044
2007-02-01,0.00960487709214883,0.00360513141168177,0.00498473666342728,0.00101500901703978
2007-03-01,0.0107382849755063,0.00390845731150494,0.00461061195244912,0.00221921571155228
2007-04-01,0.0127619088936751,0.00487261362183064,0.00601825064147066,0.00187104463037379
2007-05-01,0.0110054530434633,0.00378616435276996,0.00615684703311069,0.00106244165758265
2007-06-01,0.00954434448133262,0.00328076890516996,0.00458361446041216,0.00167996111575051
2007-07-01,0.00973897807513589,0.00212471840336783,0.00543745139786605,0.00217680827390201
2007-08-01,0.0176503856536655,0.00407735463318015,0.00831364198224648,0.00525938903823889
2007-09-01,0.0176420146964608,0.00567604552930374,0.00875341427129623,0.00321255489586081
2007-10-01,0.0129591228477784,0.00436477884809778,0.00613789457582975,0.00245644942385085
2007-11-01,0.0175553863420577,0.00590597609118278,0.00822659453787439,0.00342281571300049
2007-12-01,0.0167004437014082,0.00536061802332153,0.0079865482328546,0.00335327744523207
2008-01-01,0.0190217541933672,0.00598775398025542,0.00872730367210712,0.00430669654100467
2008-02-01,0.0179037471882794,0.00621171056246181,0.00784951926641309,0.00384251735940448
2008-03-01,0.0142569105737394,0.00471110717744615,0.00611788063425907,0.00342792276203416
2008-04-01,0.0143649114952181,0.00558011083094235,0.00648856036658707,0.00229624029768867
2008-05-01,0.0141135702388702,0.00484786423963038,0.00712768071749262,0.00213802528174723
