"date","proportion"
2015-09-01,0.0687601515971846
2015-10-01,0.0688
2015-11-01,0.0592141671278362
2015-12-01,0.0624613481756339
2016-01-01,0.0888638920134983
2016-02-01,0.0876986462625074
2016-03-01,0.0726190476190476
2016-04-01,0.0704301075268817
2016-05-01,0.0692354003612282
2016-06-01,0.100813008130081
2016-07-01,0.132900177200236
2016-08-01,0.102198455139632
2016-09-01,0.0825942350332594
2016-10-01,0.0782556750298686
2016-11-01,0.103753910323253
2016-12-01,0.121477770820288
2017-01-01,0.123335263462652
2017-02-01,0.10425937698665
2017-03-01,0.0891647855530474
2017-04-01,0.106870229007634
2017-05-01,0.0797507788161994
2017-06-01,0.0721393034825871
2017-07-01,0.0764744005184705
2017-08-01,0.0736902705814623
2017-09-01,0.0615384615384615
2017-10-01,0.0829015544041451
