"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"8","koalition","kanzler","fdp","kanzler","edmund","wahlkampf","edmund","cdu","gabriel","merkel","opposition","koalition","clement","koalition","iv","merz","koalition","merkel","kirchhof","union","angela","cdu","angela","beck","mueller","csu","milbradt","kanzlerin","hessen","union","merkel","union","partei","kanzlerin","partei","partei","sierau","westerwelle","spd","roettgen","westerwelle","koalition","steinbrueck","cdu","wulff","koalition","kanzlerin","partei","mehrheit","csu","gabriel","partei","bayern","cdu","kanzlerin","fdp","kanzlerin","spd","seehofer","fluechtlingskrise","fluechtlingskrise","gruenen","fluechtlingspolitik","gruenen","macron","le","partei","afd","cdu","laschet","koalition","koalition","krampkarrenbauer","union","sozialdemokraten","merz","afd","angela","laschet","ministerpraesident","partei","baerbock"
"9","ministerpraesident","westerwelle","beust","merkel","cdu","wahl","wahl","opposition","westerwelle","gerhard","union","schartau","muentefering","opposition","mueller","schroeder","fdp","partei","wahl","partei","stoiber","union","csu","angela","beckstein","seehofer","angela","union","ministerpraesident","koalition","metzger","steinmeier","seehofer","seehofer","kanzlerin","csu","union","angela","csu","seehofer","gruenen","roesler","roesler","angela","merkels","kanzlerin","liberalen","union","koalition","cdu","gruenen","gruenen","merkel","angela","union","afd","koalition","koalition","angela","fluechtlingspolitik","koalition","csu","ceta","spd","wilders","cdu","csu","union","afd","kanzlerin","cdu","grundeinkommen","nahles","bayern","kanzlerin","scholz","soeder","laschet","union","ministerpraesidenten","angela","csu"
"10","kanzler","waehler","gruenen","rexrodt","kanzler","kanzler","gerhard","partei","cdu","schroeders","cdu","cdu","kanzler","fdp","union","csu","union","kanzler","cdu","cdu","muentefering","kanzlerin","wulff","ministerpraesident","ministerpraesident","merkel","ypsilanti","gruenen","schiller","huber","ministerpraesident","angela","koalition","partei","csu","union","koalition","seehofer","angela","koalition","partei","westerwelle","bundestag","union","cdu","betreuungsgeld","seehofer","waehler","bruederle","gruenen","steinbrueck","cdu","csu","markl","rheinmetall","union","angela","gabriel","ministerpraesident","koalition","seehofer","parteien","koalition","merkels","angela","pen","guttenberg","lindner","fdp","seehofer","angela","afd","kanzlerin","macron","osten","afd","kanzlerin","lindner","ministerpraesident","laschet","union","union"
"11","teufel","merkel","union","wowereit","gruenen","fdp","gruenen","gruenen","clement","koalition","persson","sager","gerhard","union","parteien","koehler","muentefering","regierung","fdp","regierung","schroeder","schroeder","stoiber","parteitag","angela","sozialdemokraten","ministerpraesident","ministerpraesident","union","horst","cdu","seehofer","steinmeier","koalition","seehofer","schaeuble","kanzlerin","koehler","seehofer","spd","mappus","waehler","gruenen","liberalen","spd","wowereit","koalition","angela","gruenen","seehofer","angela","angela","gruene","hofreiter","wahlkampf","wirtschaftsminister","gabriel","afd","linken","csu","fluechtlingspolitik","angela","fluechtlinge","csu","koalition","fdp","fdp","cdu","kanzlerin","gruenen","union","macron","barley","csu","koalition","union","merz","gruenen","csu","partei","soeder","merkel"
"12","fdp","wahl","koalition","stoiber","gerhard","edmund","wahlkampf","ministerpraesident","sozialdemokraten","angela","schweden","stoiber","mirow","wahl","muentefering","parteien","gerhard","wahlkampf","mueller","fdp","kanzlerin","wahl","ministerpraesident","csu","edmund","oettinger","gruenen","fdp","parteien","angela","waehler","muentefering","kanzlerin","horst","angela","cdu","ruettgers","spd","kanzlerin","opposition","angela","union","union","driftmann","angela","angela","hoehler","parteien","bundestagswahl","afd","kanzlerin","seehofer","fdp","lindner","gruenen","angela","stubb","angela","wahlkampf","angela","gruenen","oesterreich","angela","wahl","kanzlerin","kanzlerin","cdu","kanzlerin","parteien","koalition","afd","bayern","csu","afd","krampkarrenbauer","habeck","ministerpraesident","ministerpraesidenten","bayern","angela","roettgen","parteien"
"13","vogt","gerhard","wahlkampf","gerhard","wahl","waehler","koalition","union","schily","stoiber","csu","reformen","sozialdemokraten","pds","pds","waehler","abgeordneten","koalition","waehler","wahl","glos","steinmeier","pofalla","adenauer","ruettgers","ministerpraesident","wulff","politik","linken","schiller","minister","fdp","schroeder","bundestagswahl","linke","koalition","gruenen","koch","mehrheit","kanzlerin","guttenberg","kanzlerin","liberalen","spd","bahr","piraten","hintze","seehofer","angela","fdp","cdu","kanzlerin","wowereit","flexirente","macron","palmer","steinbrueck","wahlkampf","puerto","seehofer","sachsenanhalt","sozialdemokraten","schaeuble","linke","parteien","angela","wahlkampf","schulz","lindner","macron","gruenen","scholz","grundrente","kanzlerin","brandenburg","kanzlerin","koalition","union","bundestag","union","ministerpraesident","kanzlerin"
"14","badenwuerttemberg","fdp","kanzler","pds","westerwelle","parteien","parteien","schroeders","gruenen","csu","clement","parteien","wahl","gerhard","platzeck","milbradt","stoiber","steinbrueck","kanzler","kanzlerin","csu","wahlkampf","gruenen","union","bayern","union","sozialdemokraten","parteitag","beck","partei","oevp","wissmann","mehdorn","waehler","bundestagswahl","nahles","linke","horst","sarrazin","union","schaeuble","liberalen","angela","philipp","koalition","gruenen","union","koalition","kanzlerin","sozialdemokraten","wahlkampf","bundestag","bundestag","spitzenkandidaten","schweden","wahl","horst","kanzlerin","koalition","afd","csu","fpoe","gruenen","parteien","martin","wahlkampf","parteien","parteien","ullmann","gera","bayern","krampkarrenbauer","union","europawahl","ostdeutschen","angela","angela","macron","spahn","dulger","ministerpraesidenten","polen"
"15","berlin","kuhn","sozialdemokraten","bundeskanzler","koalition","gerhard","waehler","berlin","regierung","bundeskanzler","edmund","scholz","gruenen","muentefering","stoiber","thatcher","mueller","kohl","bundestagswahl","nahles","ministerpraesident","helmut","schoenbohm","juergen","cdu","amt","muentefering","parteien","huber","waehler","spoe","schaeuble","angela","gruenen","linken","angela","wahlkampf","lindner","konservative","angela","csu","lindner","csu","wulff","liberalen","nrw","spd","csu","merkels","kanzlerin","bundestagswahl","sozialdemokraten","seehofer","union","angela","schweden","liberalen","regierung","wahl","schaeuble","angela","hofer","fluechtlingskrise","weber","linke","fillon","linke","seehofer","cottbus","soeder","macron","kuehnert","angela","scholz","union","laschet","bayern","kaczynski","angela","berlin","gruenen","annalena"
"16","moellemann","blair","waehler","parteien","pds","liberalen","regierung","lafontaine","merkel","regierung","muentefering","waehler","kandidaten","rau","ministerpraesident","wahl","koehler","rotgruen","stoiber","wahlkampf","harper","kurt","bayern","bundeskanzlerin","stoibers","ruettgers","union","khader","linke","wahlkampf","clement","parteien","hessen","wahlkampf","steffi","amt","opposition","kauder","ministerpraesident","guttenberg","roettgen","parteien","berlin","parteien","roettgen","seehofer","bayern","gruene","union","angela","gruene","liberalen","linkspartei","delegierten","matschie","ramelow","politik","union","kanzlerin","fluechtlinge","fluechtlinge","seehofer","parteien","macron","wahlkampf","kandidaten","martin","angela","angela","angela","merkels","kanzlerin","europawahl","volksbegehren","scholz","grundrente","krampkarrenbauer","liberalen","fdp","koalition","malu","haub"
"17","scharping","koalition","wahl","regierung","bundeskanzler","bundestagswahl","bundestagswahl","mueller","opposition","opposition","schwedens","mirow","koalition","parteien","koehler","kanzler","steinbrueck","gerhard","wahlkampf","bayern","gruenen","grundsatzprogramm","kanzlerin","kurt","koalition","boehrnsen","minister","ude","beckstein","mehrheit","umfragen","bayern","guttenberg","angela","westerwelle","lafontaine","kraft","parteien","rotgruen","mehrheit","landtagswahlen","weber","abgeordneten","schaeffler","christian","csu","schaeuble","ude","beck","bayern","csu","csu","angela","fdp","sozialdemokraten","spdchef","mehrheit","bundesregierung","rico","union","fdp","gabriel","waehler","gabriel","gruenen","waehler","angela","steinmeier","seehofer","sozialdemokraten","horst","fdp","macron","parteien","ostdeutschland","soeder","kanzleramt","ministerpraesident","kanzlerin","csu","armin","berlin"
